,review_rating,review_text,verified_purchase,total words,total characters
81,5,"Execellent product, made my skin feel silky smooth extremely hydrated. Used it for couple of weeks my skin felt healthier, more hydrated overall looked better. Would definitely recommend this product to friend. [This review was collected as part of promotion.]",False,46,278
82,4,"This cream is light, odourless leaves skin feeling genuinely smooth, supple refreshed. I use it as part of my nightly routine - applying it when going to bed after washing drying my face. It is light enough not to clog pores or feel sticky on face, in morning my face always feels smooth replenished. I have also tried using this cream during daytime and, while it has all benefits described above, it\u2019s not long-lasting enough in terms of hydration it gives, meaning you often feel need to reapply after few hours. All in all great overnight moisturiser if you have sensitive skin - it\u2019s unscented it\u2019s really gentle on sore patches. [This review was collected as part of promotion.]",False,136,761
83,5,Fresh clean. Reliable delivery,True,5,34
84,5,"Great combination, started using when my now 3yo was born am still using it",True,15,79
85,5,Nice fresh smelling products,True,5,32
86,5,"We all crave things that transport us back to more innocent times. For me Bovril is one of those things, from gooey unctuousness of tar black bovril overflowing from spoon to ""ding ding ding"" as I stir it in hot water to make it dissolve earthy, beefy smell with hints of celery goodness knows what else. Sometimes you can get alcohol fatigue so Bovril is great alternative to nightcap or even mug of tea. I even go so far as to dissolve pat of butter in it too for extra richness within an hour I'm pretty much knocked out sleep soundly until morning, warm comforted. This pack will last me long time I am sure, certainly 2 winters.",True,132,681
87,5,"Lovely, but can be bought cheaper in home bargains !",True,10,52
88,1,Item was damaged unable to pour without spillage.. have transferred to another bottle as unable to wait for replacement.,True,20,124
89,5,Good price.,True,2,11
90,5,It came very fast.,True,4,18
91,5,Hi Simple!This is my absolute must-have facial moisturiser now I cannot find it in UK stores anywhere. Have you discontinued this product?! Please don't!,False,25,157
92,1,Please go back to old capsules - these new ones make our household suffer terrible allergic reaction - constant hay fever!,False,23,128
93,4,Never usually use laundry softener but was very pleasantly surprised by results with this product. Clothes smelt great smell lasted despite childrens best efforts! And clothes came out much softer. Think I am converted!,False,39,239
94,5,I am marmite lover. I have switched back to glass jar because 1. marmite isn't right consistency to be squeezed 2. glass jar can be recycled.,False,31,159
95,5,Great,True,1,5
96,5,Thank you,True,2,9
97,5,I got this itÂs be great buy. DonÂt have to put much into wash clean clothes at end of was fragrance last long time too,True,29,135
98,5,"I had been lured by all enticing fragrances on other conditioners but noticed that my eyes would smart my kids would ask why I seemed to be squinting my eyes. I'm now back to using Comfort Pure as I used it before with no reactions. Smells good, softens clothes, can't complain!",False,53,286
99,5,"Gives good result - fragrance is very strong though it lasts long time. I really like it but if you donÂt, you wonÂt really be able to still use product as there is no avoiding it.",False,41,198
100,5,Good,True,1,4
101,5,Good size spray,True,3,15
102,5,The price of this bulk pack is less than buying items individually from somewhere else. I won't use any other shampoo because they tend to dry my hair I don't like using lot of chemicals. This product is perfect as it contains nothing keeps me dandruff free. Even anti-dandruff shampoo doesn't always work I've found in past.,True,62,343
103,5,Like to make my own soups & casseroles. This product does very well for that.,True,15,77
104,5,The best ice cream ever,False,5,23
105,5,I live in an extremely hard water area half year. As soon as I'm here my hair becomes dry scalp sensitive...this is great shampoo! Both my husband I are completely satisfied.,False,37,194
106,5,Easy to use. I will recommend it if you want to get all glam up to go out somewhere this is product to use,True,25,110
107,1,Disappointed shows big conditioner but small arrived,True,7,52
108,5,We all know how this works,True,6,26
109,3,DoesnÂt clean my clothes too well if there is too many clothes they wonÂt smell good other wise price is good,True,22,115
110,5,I would recommend - good value,True,6,30
111,5,I will be buying again thank,True,6,28
112,5,What more is there to say,True,6,25
113,5,Always been fan of dove products. Antiperspirant effect lasts longer than any other product I've ever used before. Really gentle on skin keeps me fresh all day long.,True,30,171
114,5,As expected - repeat purchase,True,5,29
115,5,Excellent value for money,True,4,25
116,5,Excellent cleaning. Good value.,True,4,31
117,5,Very happy with it,True,4,18
118,5,Excellent value,True,2,15
119,5,Great Value shampoo,False,3,19
120,5,Exactly wat it says on box but for an amazon deal so less money spent!,True,16,74
121,1,IÂve both exact similar 5 litre one from Costco before which thick smelt lovely similar to regular sized ones from supermarkets so I donÂt think large quantity is issue here. This one from Amazon is very runny as if itÂs been diluted doesnÂt smell or soften clothes same. This may be fake IÂm thinking. Really curious if bad batch or if amazon is not sourcing genuine product. Very baffled.,True,74,413
122,5,Amazing offer price. Couldn't resist.,True,5,37
123,1,I have hands that are really dry bleed due to eczema this is only handwash that dosent dry my hands out more make them bleed.,False,29,141
124,5,"No issues, does what it says",True,6,28
125,5,Need I say more. Use them all time for soups risottos.,True,13,62
126,5,I simply love this deodrant. The scent is great - fresh sporty. I have been using it for 3 weeks now never had problems. What is more it never leaves white marks on clothes.,False,37,185
127,5,Thicken gravy really well add wonderful flavour,False,9,53
128,5,Amazing great price too,True,5,27
129,4,"Smells great, easy one handed application",True,6,41
130,5,Very good value I would recommend.,True,6,34
131,5,Body deodorant we love smell great value for money.,False,11,59
132,5,The only floor cleaner I use. It smells good my home feels so refreshed using it,True,17,84
133,5,Btilliant buy,True,2,13
134,5,Value for money,True,3,15
135,5,"All fabric conditioners work more or less same, but this one smells divine it lasts too.",True,18,96
136,2,Couldn't find any in shops so bought on-line. Thought it was fake branding because it smelled similar but not quite Africa. Poorer product since new labelling!,False,27,163
137,2,"Been using this for year, very happy. Last 2 cans nozzles have blocked within week. Cant clear them with hot water - bit disappointed",False,27,141
138,1,"I have been buying this for years. The contents are good. However, bottle itself is awful. Three times it has cut right under my fingernails when opening. Also, you can't turn it upside down as it approaches empty due again to ridiculous design of this bottle.",False,48,268
139,5,"Pleasant to use with very little scent, which was what I wanted. These shower gels are brilliant! No nasty chemical smells super clean design, great for whole family, young old. Simple products are skin friendly, meaning no perfumes, no colours. I can honestly say these are only products that don't leave me with skin irritation. I have very sensitive, problematic skin am prone to dermatitis. This stuff could be used as face wash, it's so gentle. [This review was collected as part of promotion.]",False,91,523
140,5,"These wipes are great for getting most stubborn make up off, I love fact wipes are infused with minerals plant extracts, that when using then,ther is no irritation or stinging, my face feels smooth an refreshed [This review was collected as part of promotion.]",False,50,282
141,5,Great quality wipes that are strong to use don't tear apart like other wipes. A must buy over other brand names I'll be purchasing more in near future. Very satisfied with simples product line. [This review was collected as part of promotion.],False,46,257
142,5,I love these face wipes as they do at great job at removing make up left my skin feeling squeaky clean! Added bonus was absence of strong smell or feeling that some product was left over on my skin. Love them. [This review was collected as part of promotion.],False,54,273
143,4,"I have sensitive skin, but these worked really well. Took my make up off easily didn\u2019t irritate my skin. Felt really refreshing. I would definitely purchase these again for future use would recommend this product. [This review was collected as part of promotion.]",False,46,278
144,5,Been using for few months Really pleased how they work Get make up off very easily smell nice Not to wet so leave skin moisturised silky clean No irritation Defiently my new favourite make up remover [This review was collected as part of promotion.],False,48,261
145,4,"Tried tested this skin quenching night cream,it's of very light soft texture when applied at night soaks into your skin making it fell so soft. Would recommend this product to my friends family as it works wonders . [This review was collected as part of promotion.]",False,51,281
146,4,Happy with this product. Very light on skin not sensitive. I would recommend it. Can apply as much as you wish during day it doesn\u2019t feel bad. Comes in an easy to use plastic tub with an easy screw top [This review was collected as part of promotion.],False,53,274
147,4,"This is great water based moisturiser, that is light on your skin gives you dewy complexion. Since I have been using this product twice day, I have noticed significant improvement in my skins elasticity skin tone. [This review was collected as part of promotion.]",False,51,281
148,5,"This is another great product from Simple, so don't ever stop making it!! Please!!",False,14,82
149,5,good flavor,True,2,11
150,5,great,True,1,5
151,5,No question as it says on bottle,True,8,36
152,4,Very good value. My favourite conditioner.,True,6,42
153,5,lovely smell,True,2,12
154,3,"Love product, however itÂs hard to spray. Would recommend though.",True,11,70
155,5,Got this to try wasnt disappointed. Its little less thick than some other conditioners on market but this makes it go further also I notice tray doesnt get as mucky afterwards. The clothes were soft had lovely subtle scent - still using large bottle so its going long way!,False,58,302
156,5,A little goes long way,False,6,24
157,2,"Not convinced that smell matches original, seems less thick than previous. Why does description refer to batteries? Other reviews show as Verified Purchase - but none have names?",True,28,178
158,5,This is such great soap. Me my wife loves it. It actually moisturizes our skin everytime we used it.,True,21,106
159,5,"Love these soaps, cleans well keeps your hand moist. Good for people with eczema",True,15,84
160,5,Definitely worth money! I do laundry very often these lasted me for over month! Definitely will buy again.,True,21,116
161,5,"Arrived super fast. Two good sized bottles. I dont know why some people are moaning in reviews about size of fabric softener- its ultra concentrated so you dont need to use full cap, it will last you long enough. Fabric softener also smells great.",True,49,265
162,5,Great product very happy with it,True,6,32
163,5,Great price at Â£6 when i purchased. If it was still this price i would subscribe buy more.,True,19,95
164,5,"Lovely smell, can pour into smaller bottles to make using more manageable. Can't beat it for Â£5!",True,17,97
165,5,These pods work as well as any other I've used great value (18 for three bags when I bought),True,20,96
166,5,I love Comfort Pure. Both our children have sensitive skin it doesn't irritate like other softeners have done in past. The scent is also very pleasant not too overpowering,False,32,183
167,5,Thanks,True,1,6
168,5,Bit watery,True,2,10
169,5,Good,True,1,4
170,2,Blue bottle is alot better. This smells less than blue bottle when clothes are hanged outside on washing line you can't small anything,False,24,138
171,5,"Great value for money, smells nice seems to stop my hair being static days I use it",True,18,87
172,3,Good product,True,2,12
173,2,Product arrived broken had spilt all over inside of envelope.,True,13,73
174,2,did not squirt very well,False,5,24
175,5,Very good value for amount of capsuls you get in packet very good price,True,18,85
176,5,"Bit too runny,not as thick liquid as most but ok.",True,10,49
177,5,Works great,True,2,11
178,1,"I have used Simple Rich moisturiser for years, I now need to find an alternative as new formula burns my skin. It's real shame that loyal customers are having to switch, with no information or explanation provided by manufacturer.",False,42,240
179,5,excellent value for money,True,4,25
180,5,These are great. I will buy more!,True,7,33
181,3,But that's personal taste. Sold mine on.,True,7,40
182,5,All three of flavours are so good,False,8,37
183,5,I have tried many English mustards in my time but always come back to Colmans. If I am out for Sunday roast I take tube with me as invariably I will be served an inferior one.,False,38,179
184,5,"As title suggests, I really wont buy any other tea bags. PG Tips have good, strong flavour. I like strong tea can get really good cup with these tea bags. Not overly packaged, which I like. I have never had any problems with damaged tea bags as others have mentioned. Will continue to buy these as staple.",False,63,321
185,5,This is bleach. Bleachy bleach bleach!,False,6,38
186,4,"I have been buying this shampoo for my husband (who shaves his head every other week) for years, as he doesnt require an expensive shampoo. The fragrance is lovely he has no complaints about product. Lathers up well cleans his head/tiny bit of hair perfectly. Nice packaging. You really cant go wrong for Â£1",False,57,320
187,5,"This Dove deodorant stick is best deodorant I have ever used. It goes on lovely, smells amazing leaves me feeling dry confident that i smell fresh all day long. I love this product, 5 stars highly recommended.",False,41,225
188,5,Great quality,True,2,13
189,5,"Buy this on my amazon prime orders, no problem at all",True,11,53
190,5,"Great product, lovely scent. Lasts me ages.",True,7,43
191,5,A+,True,1,2
192,5,Washes clothes nice,True,3,19
193,5,Great taste adds depth of flavour to any meal. More importantly to my family is that they're gluten free,True,20,108
194,1,Years ago I used to love pot noodles as student but these were yuck! I had to add additional sauce even then pasta tasted like carboard. I was in situation recently where I only has access to kettle chose these over mugshots.....big mistake!!,True,49,260
195,1,"While I like product, bottle is unsuitable. The plastic is very thin, which is good thing, this means it almost impossible to pick up bottle fill very small cap without spilling significant amount, especially when bottle is still relatively full. Do buy this, but only if you are happy to decant content into sturdier bottle.",False,66,363
196,5,I love lynx products so was happy to buy this to write review. I am female but I like scent of mens products I think scent stays longer on skin. Nice consistency too so you don't lose it off your hands down plughole!,False,50,242
197,5,perfect,True,1,7
198,5,Great product! Great price,True,4,26
199,5,"They last forever, work well I now wouldn't change to another brand. Smell is pretty neutral",True,17,96
200,5,Goos,True,1,4
201,5,"Some very considerate friends brought this to dinner party for vegans to enjoy turns out everybody loves it, some even more than dairy version because of its delicious flavour less heavy texture. Really good vanilla ice cream!",False,42,244
202,2,"Product is fine. But I struggle to get smooth thin lid off most of time. With wet hands, impossible. Also design makes it difficult to hold pour bottle. Won't buy again.",False,36,189
203,5,"I always buy this product, I love it. It's quality product, smells nice, doesn't leave marks on your clothes!!!",False,20,113
204,5,I love this product It's keeps my hair protected,True,9,48
205,5,Happy with item,True,3,15
206,5,Brilliant product! Left drains clear clean,False,8,50
207,5,Great value,True,2,11
208,5,Fine,True,1,4
209,3,"I'v bought loads of these on offer. Used 3 washing with half cap I can't small much. I do have good sense of smell by way. Description says put drop, like Wtf.! You need cap full so now I don't think it will.be 64 wash after all",False,53,244
210,5,"I bulk bought these as don't drive they are heavy to carry from supermarket. Scent is good, supposed to last 64 washes. This is only if you use half lidfulls. If your like me you'll throw in full cap it won't last as long.",False,48,236
211,4,"Quite solid product, I find it easier to use if container is placed in warm water for few minutes before use.",True,24,117
212,5,Good Alround Thanks,True,3,19
213,5,3 pouches arrived in persil box in brown box so safely packaged. Good washing capsules easy to use.,True,20,103
214,5,Fantastic price my mother-in-law loves this. Great product.,True,9,63
215,5,Well worth it,False,3,13
216,1,"This doesn't seem to be genuine...the branding came off, product has no smell is very liquid, not usual consistency of Comfort...DO NOT BUY!",True,26,152
217,3,No idea how they can claim 100+ washes?,True,8,39
218,4,Like product,True,2,12
219,5,CanÂt get this where I live so this was dead handy,True,11,51
220,5,Love this smell,True,3,15
221,5,smells good not expensive,True,5,29
222,4,Good,True,1,4
223,5,"I love this! IÂve been using it for past couple of years, I recently bought this off amazon found it to be whole lot cheaper than boots. I also use it to tame my hair after I dry it along with protecting it from heat.",True,49,232
224,5,Good value for money,True,4,20
225,1,I donÂt know how anyone can like this..it smells/tastes like weed with vinegar,False,13,79
226,2,"Struggle to open lid, then it spills every time I try to use cap as measure. Terrible design. Product itsel is fine, but would avoid buying because of irritation with lid.",False,36,189
227,1,"Have used this for many years with no problem, but it is now different product which itches. Have bought it from different shops, but it is still same itchy product. Will not buy it anymore",False,37,195
228,5,I bought this week ago having tried many different tanning products. This is best I've come across it leaves your skin feeling so moisturised soft with nice natural tan with no streaks. Definitely recommend this product!,False,41,236
229,4,Good value for money- but container does make it difficult to pour without spilling,True,15,87
230,2,Never buying again. About 15 of capsules were all stuck together leaking making them unusable. Canceling my subscription,True,20,128
231,4,Good cleaning product of you have kids with sensitive skin,True,10,58
232,5,A nice mustard - smooth tasty,False,7,33
233,5,Great,False,1,5
234,3,"Over priced over rated, but it's what nephew wanted for Christmas. Wouldn't use it myself",True,17,97
235,5,If youre looking for super moisturizing body wash this is it! Leaves my skin super soft!,False,17,90
236,5,I love this body was my skin gets super dry in winter this product helps reduces FYI skin,False,20,97
237,5,"I use this on both myself kids. We all have sensitive skin it doesnt irritate any of us. Great, last scent. A little bit goes long way, so bottle lasts while too. The price is very reasonable compared to other similar products.",False,48,247
238,4,"This body wash has soft original \""dove\"" original smell to it I love it, but I prefer smell of cucumber green tea deep mosturizer body wash. I mean it definetly works its great product , it mosturerises but I prefer other one.I still recommend it. Good product.",False,53,282
239,4,This is what I use in winter. It helps to keep my skin moisturized. I do find I need to follow up with lotion after my shower or my skin will get dry. It works well is inexpensive! I like plain scent as well.,False,47,220
240,5,Feels like Im really getting clean I love lotion feel of it. Its not overly priced.,False,18,91
241,5,"Love how soft my skin feels after using this product! In cold winter months, this is especially helpful.",False,19,108
242,5,Very good,True,2,9
243,5,"Huge bottle, smells lovely with clothes drying indoors, didnt need softener or exxtra scents...fast delivery.thankyou.",True,15,118
244,1,"I wouldn't buy this again. Frequently it leaves slime on clothes, particularly at lower temperature washes. The manufacturer knows this package advises you to 'simply rinse under warm water' if this occurs. When taking an 8 kg load out of machine it's not easy to spot this. I usually don't find it until putting garment on - by which time it's dry encrusted.",True,69,383
245,5,They have great smell clean brilliantly,True,8,45
246,4,Package is not comfortable spilt few times for me when I put it in washing machine as too heavy like I said not comfortable other wise good,True,29,147
247,5,great price i will but again,True,6,28
248,5,"Love size of bottle, smell is gorgeous, little goes long way.",True,17,81
249,5,Fab stocking filler.,True,3,20
250,5,Great buy I use this before I blow dry my hair to prevent heat damage would recommend got at great price for 3 bottles,True,26,124
251,5,Not happy yet prob my fault couldnÂt get spray gun to work. 5 stars because cheap delivered quick but numpty here couldnÂt open.,True,24,134
252,3,"The conditioner itself is good. However, bottle lid are terrible. Very difficult to pour into tiny lid/measure bottle is slippery to hold pour. Will not be buying again as its causing me to much aggravation.",False,40,227
253,5,you cannot beat it,True,4,18
254,5,never changes,True,2,13
255,5,Amazinng smell! And skin looks really health after use it,True,11,61
256,5,maybe 12 was too many :),True,6,24
257,5,perfect price,True,2,13
258,1,"Arrives with broken lid leaked all over box, half bottle left",True,14,69
259,4,very good value set - I took star off as I expected comfort to be same size as persil but it in quite bit smaller so picture is misleading apart from that great set at reasonable price,True,45,208
260,5,Stocked up to save money - quite strong smell so don't need to use much,True,15,71
261,5,love this creamy soap would not use anything else lovely lather when you are in shower smells lovely nothing to not like,True,23,124
262,5,Good,True,1,4
263,5,"Nice smelling great anitipersperiant, also works for men.",True,9,61
264,5,Love this product works really well protects my hair as I would expect,True,14,74
265,5,Good,True,1,4
266,5,"Makes your hair smell great. Definitely, recommend this product. The conditioner works really great as well.",True,16,108
267,5,Amazing came in perfect time,False,6,32
268,5,"I always take Badedas when I go on holiday, it is lovely in bath soothes my skin after day in sun",False,25,111
269,1,"Sorry to say this but it tastes awful, creates greasy film on top, stains teeth ceramic. I think people who have it with milk don't realise as it gets mixed up. If they had it straight they would see how bad it is. My two cents",False,48,233
270,5,"Our go to laundry detergent, this works, even at 20Â°",True,10,53
271,5,Nice smell last longer,True,5,26
272,5,I love smell of this,False,6,24
273,5,Met usually Lynx standards,True,4,26
274,5,Lovely scent good wash,True,6,28
275,5,Excellent,True,1,9
276,1,This cream burn my skin And I have lot of spot I won't buy it again,False,17,69
277,5,"I never use anything else. Soft, creamy pampering, ideal for summer winter skin. Have tried others nothing compares. Worth every penny!",False,24,147
278,5,"I have bought this product many times. It is best eye cream around in my view, especially for those of us in advancing years that need something gentle but effective; with all those excellent vitamins minerals 'Simple' approach to skin creams I wouldn't choose anything else. In fact I buy online from Boots, because my local store doesn't always have it in stock.",False,68,384
279,4,"I love scent, smells somewhat like baby powder, feminine. IÂm not sure how much it keeps perspiration off as I sweat lot while dancing, but it does keep smell at bay. I love it, but wished it doesnÂt leave that horrible waxy residue hard to remove in shower.",True,52,274
280,5,Perfect for quick snack. Brilliant to no my cupboards are stocked,True,12,67
281,5,I love this soap. It leaves my skin feeling smooth moisturised: I don't use any other product.,True,18,98
282,5,Smells really fresh,True,3,19
283,5,"I signed up for subscription as such great value. The most wonderful smell, that lasts for ages! Never had fabric conditioner that compares.",True,25,144
284,5,Great value,True,2,11
285,5,"Smells nice, creamy texture doeant dry our your hands. I will be buying again.",False,15,82
286,1,"I used this product for literally 10 years, now they've changed something it is irritating my skin, slight burning sensation. Why on earth would they change perfect product. Please go back to old one.",False,38,212
287,5,smells divine so easy to use glides on skin skin feels so soft luxurious with every use no dry patches just smooth soft skin what smells divine well worth 5 stars it is one of my desert island product [This review was collected as part of promotion.],False,49,256
288,5,"Smells aaaaaaaaamazing fresh great value for such large bottle. Will last ages, cheaper than high st stores I have RSI so canÂt carry heavy shopping!",True,29,164
289,5,Brill,True,1,5
290,5,Nice smelling shower gel.,True,4,25
291,5,"WhatÂs not to love, itÂs decent fabric softener with nice fragrance.",True,12,72
292,5,SMELLS NICE AND THE CLOTHES ARE NICE AND SOFT,True,9,45
293,5,Love smell of this comfort buy all time would diffidently recommend leaves clothes smells so nice !,True,19,107
294,5,Smells amazing,False,2,14
295,5,Smells nice keeps clothes smelling fresh,False,6,40
296,2,It doesn't smell good doesn't last for long time :( had to order another product.,True,17,87
297,5,Cheaper to get than having to ask attends for them,False,10,50
298,5,Usually purchase at Costco but these are extremely good value would definitely recommend this,True,14,93
299,1,"May as well just use plain water, it would do same job, nothing",True,14,67
300,5,Perfect flavour,True,2,15
301,4,Ok,True,1,2
302,5,Laundry,True,1,7
303,5,Nice,True,1,4
304,5,Great value,True,2,11
305,5,Decent price. A lot cheaper than in store. Lasts ages too.,True,11,58
306,5,Nice i will prefer to buy again,True,8,32
307,5,Great for hair that is straightened,True,6,35
308,5,Great product great price too,True,6,33
309,5,Does what it's supposed to,True,5,26
310,4,They arrived they're pot noodles. What more can I say?,True,11,58
